0.0	29.0
1.0	9.77
2.0	8.48
3.0	10.8
4.0	9.51
5.0	9.76
6.0	9.51
7.0	9.51
8.0	9.76
9.0	9.76
10.0	9.5
11.0	9.52
12.0	9.51
13.0	10.0
14.0	7.7
15.0	11.8
16.0	9.25
17.0	7.96
18.0	11.3
19.0	5.66
20.0	12.1
21.0	9.77
22.0	10.5
23.0	9.77
24.0	9.51
25.0	6.68
26.0	9.51
27.0	10.0
28.0	8.72
29.0	10.8
30.0	8.23
31.0	11.8
32.0	6.94
33.0	11.8
34.0	9.51
35.0	6.93
36.0	12.4
37.0	9.51
38.0	9.51
39.0	10.0
40.0	9.75
41.0	7.45
42.0	11.8
43.0	9.51
44.0	10.0
45.0	8.98
46.0	10.5
47.0	9.24
48.0	9.52
49.0	8.73
50.0	10.5
51.0	9.98
52.01	9.82
53.0	9.77
54.0	10.0
55.0	9.76
56.0	9.76
57.0	10.0
58.0	9.51
59.0	9.75
60.0	9.77
61.0	9.77
62.0	9.25
63.0	7.7
64.0	11.6
65.0	10.0
66.0	6.66
67.0	9.54
68.0	9.49
69.0	12.3
70.0	9.53
71.0	10.0
72.0	6.67
73.0	12.3
74.0	10.0
75.0	9.48
76.0	9.54
77.0	6.68
78.0	12.6
79.0	7.19
80.0	11.6
81.0	9.51
82.0	10.0
83.0	10.0
84.0	9.77
85.0	9.76
86.0	9.5
87.0	9.77
88.0	7.7
89.0	10.8
90.0	10.3
91.0	9.25
92.0	9.25
93.0	7.19
94.0	11.8
95.0	9.51
96.0	9.76
97.0	6.93
98.0	11.8
99.0	10.0
100.0	6.67
101.0	12.6
102.0	8.73
103.0	10.8
104.0	9.51
105.0	6.93
106.0	12.3
107.0	8.48
108.0	7.71
109.0	12.6
110.0	9.77
111.0	9.77
112.0	8.98
113.0	9.78
114.0	9.76
115.0	9.5
116.0	6.94
117.0	10.5
118.0	8.73
119.0	10.5
120.0	8.22
121.0	12.6
122.0	9.78
123.0	9.25
124.0	7.19
125.0	9.26
126.0	11.8
127.0	9.74
128.0	9.79
129.0	9.76
130.0	9.25
131.0	8.48
132.0	9.74
133.0	7.47
134.0	12.1
135.0	6.94
136.0	12.1
137.0	9.77
138.0	9.5
139.0	9.51
140.0	9.5
141.0	8.75
142.0	8.22
143.0	11.0
144.0	9.77
145.0	6.92
146.0	9.53
147.0	12.1
148.0	9.76
149.0	7.2
150.0	11.8
151.0	10.0
152.0	7.19
153.0	11.6
154.0	7.96
155.0	11.6
156.0	9.25
157.0	9.5
158.0	9.51
159.0	7.96
160.0	8.73
161.0	11.5
162.0	8.75
163.0	7.19
164.0	10.8
165.0	11.3
166.0	9.79
167.0	9.25
168.0	9.77
169.0	9.77
170.0	9.75
171.0	9.26
172.0	6.41
173.0	10.8
174.0	8.73
175.0	9.25
176.0	11.1
177.0	10.8
178.0	9.77
179.0	10.0
180.0	9.76
181.0	9.76
182.0	8.47
183.0	10.8
184.0	9.77
185.0	9.51
186.0	9.5
187.0	7.71
188.0	8.22
189.0	10.5
190.0	10.8
191.0	9.54
192.0	7.18
193.0	12.1
194.0	6.94
195.0	12.3
196.0	9.51
197.0	9.51
198.0	9.76
199.0	9.77
